word,part_of_speech,topic,context
allow,v,,
all right,"adj, adv & exclam",,
alright,"adj, adv & exclam",,
all sorts of,det & pron,,
all the time,det,,
a,det,,
an,det,,
a few,"det, adj & pron",,
almost,adv,,
alone,adj & adv,"Personal Feelings, Opinions and Experiences (adjectives)",
along,prep,,
already,adv,,
able,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
also,adv,,
about,adv & prep,,
always,adv,,
a.m.,adv,Time,
amazed,adj,,
amazing,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
above,adv & prep,,
ambulance,n,"Health, Medicine and Exercise; Travel and Transport",
accident,n,"Health, Medicine and Exercise",
among,prep,,
accommodation,n,,
across,adv & prep,,
and,conj,,
angry,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
animal,n,,
act,v,Entertainment and Media,
another,det & pron,,
action,adj,,
answer,n & v,,
activity,n,,
any,det & pron,,
actor,n,Entertainment and Media; Work and Jobs,
anybody,pron,,
actually,adv,,
anymore,adv,,
ad,n,Documents and Texts; Shopping,
anyone,pron,,
anything,pron,,
add,v,,
anyway,adv,,
address,n,Communication and Technology; House and Home,
anywhere,adv,,
adult,adj & n,,
apartment,n,House and Home; Places: Buildings,
advanced,adj,Education,
apartment building,n,Places: Buildings,
adventure,n,Entertainment and Media,
app,n,,
advert,n,,
apple,n,Food and Drink,
advertisement,n,Documents and Texts; Entertainment and Media; Shopping,
appointment,n,"Health, Medicine and Exercise; Time",
advice,n,,
aeroplane,n,,
April,n,,
afraid,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
area,n,Places: Countryside,
after,adv & prep,,
arm,n,"Health, Medicine and Exercise",
afternoon,n,Time,
armchair,n,House and Home,
afterwards,adv,,
around,adv & prep,,
again,adv,,
against,prep,,
arrive,v,,
art,n,Entertainment and Media,
age,n,,
article,n,Documents and Texts; Entertainment and Media,
aged,adj,,
artist,n,Work and Jobs,
as,conj & adv & prep,,
ago,adv,,
agree,v,,
air,n,The Natural World,
ask,v,,
airport,n,Places: Town and City; Travel and Transport,
assistant,n,Shopping,
alarm clock,n,,
as well,adv & prep,,
album,n,,
as well as,prep,,
all,"adv, det & pron",,
at,prep,Communication and Technology,
all kinds of,det & pron,,
begin,v,,
beginner,n,Education,
beginning,n,,
at all,prep phr,,
behind,adv & prep,,
attractive,adj,,
believe,v,,
belong,v,,
August,n,,
aunt,n,Family and Friends,
autumn,n,The Natural World; Time,
below,adv & prep,,
available,adj,,
belt,n,Clothes and Accessories,
away,adv,,
beside,prep,,
best,adj & adv,,
better,adj & adv,"Personal Feelings, Opinions and Experiences (adjectives)",
between,prep,,
awesome,adj,,
bicycle,n,Hobbies and Leisure; Sport,
awful,adj,,
big,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
bike,n,Hobbies and Leisure; Sport,
bill,n,Documents and Texts; Shopping,
bin,n,House and Home,
baby,n,"Health, Medicine and Exercise",
back,"n, adv & adj","Health, Medicine and Exercise",
biology,n,Education,
backpack,n,Clothes and Accessories; Travel and Transport,
bird,n,,
bad,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
birth,n,,
birthday,n,Time,
badly,adv,,
badminton,n,Sport,
bit,n & adv,,
bag,n,Clothes and Accessories,
bake,v,Food and Drink,
ball,n,Sport,
balloon,n,,
black,adj & n,Colours,
banana,n,Food and Drink,
blackboard,n,Education,
blanket,n,House and Home,
band,n,,
block,n,Places: Buildings,
bank,n,Places: Buildings; Services,
blog,n,,
blond,adj,,
blonde,adj,,
barbecue,n,Food and Drink; Hobbies and Leisure,
barbeque,n,Food and Drink; Hobbies and Leisure,
blood,n,"Health, Medicine and Exercise",
baseball,n,Sport,
blouse,n,Clothes and Accessories,
basketball,n,Sport,
blue,adj & n,Colours,
bat,n,Sport,
board,n,Education,
bath,n,House and Home,
bathing suit,n,Clothes and Accessories; Sport,
board game,n,Entertainment and Media,
bathroom,n,House and Home,
boat,n,Sport; Travel and Transport,
bathtub,n,House and Home,
body,n,"Health, Medicine and Exercise",
battery,n,,
boil,v,Food and Drink,
be,av & v,,
boiled,adj,Food and Drink,
beach,n,Hobbies and Leisure; Places: Countryside; Sport; The Natural World,
book,n & v,Documents and Texts; Education; Entertainment and Media; Hobbies and Leisure,
bean,n,,
bear,n,,
beard,n,,
beautiful,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
bookcase,n,House and Home,
because,conj,,
bookshelf,n,Education; House and Home,
because of,prep phr,,
bookstore,n,Places: Buildings; Shopping,
become,v,,
bookshop,n,Places: Buildings,
bed,n,House and Home,
boot,n,Clothes and Accessories,
bedroom,n,House and Home,
bee,n,The Natural World,
bored,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
beetle,n,,
boring,adj,"Personal Feelings, Opinions and Experiences (adjectives)",
before,"adv, conj & prep",,
born,v,,
